's	s'
cheese	cheeses
cheeseboard	cheeseboards
cheeseburger	cheeseburgers
cheesecake	cheesecakes
cheesecloth	cheesecloths
cheesemaker	cheesemakers
cheesy	cheesier,cheesiest
cheetah	cheetahs
chef	chefs
chef-d'oeuvre	chefs-d'oeuvre
chelate	chelated,chelating,chelates
chem	chems
chemical	chemicals
chemise	chemises
chemist	chemists
chemistry	chemistries
chemokine	chemokines
chemoprophylaxis	chemoprophylaxes
chemoradiotherapy	chemoradiotherapies
chemotaxis	chemotaxes
chemotherapy	chemotherapies
cheque	cheques
chequebook	chequebooks
chequer	chequering,chequered,chequers
chequerboard	chequerboards
cherish	cherishing,cherished,cherishes
cheroot	cheroots
cherry	cherries
chert	cherts
cherub	cherubs
chessboard	chessboards
chessman	chessmen
chessplayer	chessplayers
chest	chests
chestnut	chestnuts
chevron	chevrons
chew	chewed,chews,chewing
chewing-gum	chewing-gums
chewy	chewier,chewiest
chi	chis
chi-square	chi-squares
chiaroscuro	chiaroscuros
chiasm	chiasms
chic	chics
chicanery	chicaneries
chick	chicks
chicken	chickened,chickening,chickens
chicken-house	chicken-houses
chickpea	chickpeas
chicory	chicories
chide	chid,chidden,chides,chided,chiding,chidded
chief	chiefs
chiefdom	chiefdoms
chieftain	chieftains
chihuahua	chihuahuas
chilblain	chilblains
child	childs,children
childbirth	childbirths
childhood	childhoods
childminder	childminders
chile	chiles
chili	chilies
chill	chilling,chillest,chills,chiller,chilled
chillblain	chillblains
chiller	chillers
chilli	chillies
chilly	chilliest,chillier
chimaera	chimaerae,chimaeras
chime	chimed,chimes,chiming
chimera	chimeras,chimerae
chimney	chimneys
chimp	chimps
chimpanzee	chimpanzees
chin	chins
china	chinas
chinchilla	chinchillas
chine	chines
chink	chinks,chinked,chinking
chip	chips,chipping,chipped
chipboard	chipboards
chipmunk	chipmunks
chipper	chippers
chipping	chippings
chirality	chiralities
chiropodist	chiropodists
chiropody	chiropodies
chiropractor	chiropractors
chirp	chirped,chirping,chirps
chirpy	chirpiest,chirpier
chirrup	chirruped,chirruping,chirrups
chisel	chiseling,chiselling,chiselled,chiseled,chisels
chit	chits
chitchat	chitchats
chitin	chitins
chitter	chitters,chittering,chittered
chitty	chitties
chive	chives
chivvy	chivvies,chivvied,chivvying
chlamydia	chlamydiae,chlamydias
chloramine	chloramines
chloramphenicol	chloramphenicols
chlorhexidine	chlorhexidines
chloride	chlorides
chlorinate	chlorinates,chlorinated,chlorinating
chlorination	chlorinations
chlorine	chlorines
chlorobenzene	chlorobenzenes
chlorofluorocarbon	chlorofluorocarbons
chloroform	chloroforms,chloroformed,chloroforming
chlorophyll	chlorophylls
chloroplast	chloroplasts
chlorosis	chloroses
chlorpromazine	chlorpromazines
choc-ice	choc-ices
chock	chocking,chocked,chocks
chocolate	chocolates
choice	choices,choicest,choicer
choir	choirs
choirboy	choirboys
choirmaster	choirmasters
choke	choking,chokes,choked
choker	chokers
cholangiocarcinoma	cholangiocarcinomas,cholangiocarcinomata
cholecystectomy	cholecystectomies
cholecystitis	cholecystitides
cholera	cholerae,choleras
cholestasis	cholestases
cholesterol	cholesterols
choline	cholines
cholinesterase	cholinesterases
chomp	chomped,chomping,chomps
chondrocyte	chondrocytes
chondroitin	chondroitins
choose	chosen,chose,chooses,choosing
chooser	choosers
choosy	choosiest,choosier
chop	chopping,chopped,chops
chopper	choppers
choppy	choppier,choppiest
chopstick	chopsticks
choral	chorals
chorale	chorales
chord	chords
chore	chores
chorea	choreas
choreograph	choreographing,choreographed,choreographs
choreographer	choreographers
choreography	choreographies
chorister	choristers
chortle	chortled,chortling,chortles
chorus	chorused,choruses,chorusing
chou	choux
chough	choughs
chow	chows
chowder	chowders
christ	christs
christen	christening,christened,christens
christening	christenings
christianize	christianized,christianizes,christianizing
chroma	chromas
chromate	chromates
chromatid	chromatids
chromatin	chromatins
chromatogram	chromatograms
chromatograph	chromatographs
chromatography	chromatographies
chrome	chromes
chromophore	chromophores
chromosome	chromosomes
chronic	chronics
chronicity	chronicities
chronicle	chronicled,chronicling,chronicles
chronicler	chroniclers
chronograph	chronographs
chronology	chronologies
chronometer	chronometers
chrysalis	chrysalides,chrysalises
chrysanthemum	chrysanthemums
chub	chubs
chubby	chubbiest,chubbier
chuck	chucks,chucking,chucked
chuckle	chuckled,chuckles,chuckling
chug	chugs,chugged,chugging
chum	chummed,chums,chumming
chummy	chummier,chummiest
chump	chumps
chunk	chunks,chunking,chunked
chunky	chunkier,chunkiest
church	churches
church-goer	church-goers
churchgoer	churchgoers
churchman	churchmen
churchwarden	churchwardens
churchyard	churchyards
churl	churls
churn	churns,churning,churned
chute	chutes
chutney	chutneys
cicada	cicadae,cicadas
cichlid	cichlids
ciclosporin	ciclosporins
cider	ciders
cigar	cigars
cigarette	cigarettes
ciliate	ciliates
cilium	cilia
cinch	cinching,cinched,cinches
cinder	cinders
cine	cines
cine-film	cine-films
cine-projector	cine-projectors
cinema	cinemas
cinema-goer	cinema-goers
cinemagoer	cinemagoers
cinematograph	cinematographs
cinematographer	cinematographers
cinnamon	cinnamons
cinquefoil	cinquefoils
cipher	ciphers,ciphering,ciphered
circle	circling,circled,circles
circlet	circlets
circuit	circuits
circuitry	circuitries
circular	circulars
circulate	circulated,circulates,circulating
circulation	circulations
circulator	circulators
circumcise	circumcising,circumcised,circumcises
circumcision	circumcisions
circumference	circumferences
circumflex	circumflexes
circumlocution	circumlocutions
circumnavigate	circumnavigated,circumnavigates,circumnavigating
circumnavigation	circumnavigations
circumscribe	circumscribing,circumscribed,circumscribes
circumscription	circumscriptions
circumstance	circumstances
circumvent	circumvents,circumvented,circumventing
circumvention	circumventions
circus	circuses
cirrhosis	cirrhoses
cirrus	cirri
cisco	ciscoes
cissy	cissies
cistern	cisterns
cit	cits
citadel	citadels
citation	citations
cite	cites,cited,citing
citizen	citizens
citizenship	citizenships
citrate	citrates
citrine	citrines
citron	citrons
citrus	citruses
city	cities
city-state	city-states
civet	civets
civil	civils,civiler,civilest
civilian	civilians
civilisation	civilisations
civilise	civilises,civilising,civilised
civility	civilities
civilization	civilizations
civilize	civilizes,civilizing,civilized
cl	cls
clack	clacking,clacked,clacks
clad	clads,cladded,cladding
clade	clades
claim	claimed,claiming,claims
claimant	claimants
clairvoyant	clairvoyants
clam	clammed,clams,clamming
clamber	clambered,clambering,clambers
clammy	clammiest,clammier
clamor	clamored,clamors,clamoring
clamour	clamouring,clamoured,clamours
clamp	clamping,clamped,clamps
clampdown	clampdowns
clamshell	clamshells
clan	clans
clang	clanged,clanging,clangs
clanger	clangers
clank	clanking,clanked,clanks
clansman	clansmen
clap	clapping,clapped,claps
clapboard	clapboards
clapper	clappers
clapperboard	clapperboards
clapping	clappings
claptrap	claptraps
claret	clarets
clarification	clarifications
clarify	clarified,clarifying,clarifies
clarinet	clarinets
clarinetist	clarinetists
clarinettist	clarinettists
clarity	clarities
clary	claries
clash	clashes,clashed,clashing
clasp	clasps,clasping,clasped
class	classed,classing,classes
classic	classics
classicist	classicists
classification	classifications
classified	classifieds
classifier	classifiers
classify	classifying,classifies,classified
classmate	classmates
classroom	classrooms
classy	classiest,classier
clatter	clatters,clattered,clattering
claudication	claudications
clause	clauses
claustrophobia	claustrophobias
clave	claves
clavichord	clavichords
clavicle	clavicles
claw	clawed,clawing,claws
clay	clays
clean	cleaning,cleans,cleaned,cleaner,cleanest
clean-up	clean-ups
cleaner	cleaners
cleaning	cleanings
cleanly	cleanlier
cleanroom	cleanrooms
cleanse	cleansing,cleanses,cleansed
cleanser	cleansers
cleansing	cleansings
clear	clearest,cleared,clears,clearer,clearing
clear-cut	clear-cutting
clear-headed	clearest-headed,clearer-headed
clearance	clearances
clearing	clearings
clearinghouse	clearinghouses
clearway	clearways
cleat	cleats
cleavage	cleavages
cleave	cleaves,cloven,clove,cleaving,cleaved,cleft
cleaver	cleavers
clef	clefs
cleft	clefts
clench	clenching,clenches,clenched
clergy	clergies
clergyman	clergymen
cleric	clerics
clerk	clerked,clerks,clerking
clerkship	clerkships
clever	cleverest,cleverer
clew	clews
cliche	cliches
cliché	clichés
click	clicks,clicked,clicking
clicker	clickers
client	clients
clientele	clienteles
cliff	cliffs
cliff-hanger	cliff-hangers
climacteric	climacterics
climate	climates
climatologist	climatologists
climatology	climatologies
climax	climaxed,climaxing,climaxes
climb	climbs,climbed,climbing
climb-down	climb-downs
climber	climbers
clime	climes
clinch	clinching,clinched,clinches
clincher	clinchers
cling	clinging,clung,clings
clinic	clinics
clinician	clinicians
clink	clinks,clinking,clinked
clinker	clinkers
clinometer	clinometers
clint	clints
clip	clipping,clips,clipped
clipboard	clipboards
clipper	clippers
clipping	clippings
clique	cliques
clitic	clitics
clitoris	clitorises,clitorides
clo	clos
cloak	cloaked,cloaks,cloaking
cloakroom	cloakrooms
clobber	clobbering,clobbers,clobbered
cloche	cloches
clock	clocks,clocked,clocking
clockwork	clockworks
clod	clods
clodhopper	clodhoppers
clog	clogs,clogged,clogging
cloggy	cloggier
cloister	cloistering,cloisters,cloistered
clone	cloning,clones,cloned
clonk	clonks,clonked,clonking
clop	clops,clopped,clopping
close	closes,closed,closer,closest,closing
close-up	close-ups
closed-loop	closed-loops
closeout	closeouts
closer	closers
closet	closeted,closeting,closets
closeup	closeups
closing	closings
clostridium	clostridia
closure	closures
clot	clots,clotted,clotting
cloth	cloths
clothe	clad,clothes,clothing,clothed
clothier	clothiers
cloud	clouds,clouded,clouding
cloudburst	cloudbursts
cloudy	cloudiest,cloudier
clout	clouts,clouting,clouted
clove	cloves
clover	clovers
cloverleaf	cloverleafs
clown	clowns,clowning,clowned
clownfish	clownfishes
cloy	cloying,cloys,cloyed
club	clubs,clubbing,clubbed
clubby	clubbier
clubfoot	clubfeet
clubhouse	clubhouses
cluck	clucking,clucks,clucked
clue	clued,cluing,clues
clump	clumped,clumps,clumping
clumsy	clumsier,clumsiest
clunk	clunked,clunks,clunking
cluster	clusters,clustering,clustered
clutch	clutched,clutching,clutches
clutter	clutters,cluttering,cluttered
cm	cms
co	cos
co-administration	co-administrations
co-author	co-authors,co-authoring,co-authored
co-conspirator	co-conspirators
co-develop	co-develops,co-developed,co-developing
co-director	co-directors
co-editor	co-editors
co-efficient	co-efficients
co-enzyme	co-enzymes
co-evolve	co-evolving,co-evolved,co-evolves
co-exist	co-existed,co-exists,co-existing
co-existence	co-existences
co-factor	co-factors
co-founder	co-founders
co-habit	co-habited,co-habiting,co-habits
co-habitation	co-habitations
co-incide	co-incided,co-inciding,co-incides
co-incidence	co-incidences
co-infection	co-infections
co-investigator	co-investigators
co-leader	co-leaders
co-manage	co-managed,co-manages,co-managing
co-morbidity	co-morbidities
co-occurrence	co-occurrences
co-op	co-ops
co-operate	co-operates,co-operated,co-operating
co-operation	co-operations
co-operative	co-operatives
co-operator	co-operators
co-opt	co-opts,co-opting,co-opted
co-ordinate	co-ordinated,co-ordinates,co-ordinating
co-ordination	co-ordinations
co-ordinator	co-ordinators
co-payment	co-payments
co-pilot	co-pilots
co-processor	co-processors
co-produce	co-producing,co-produced,co-produces
co-producer	co-producers
co-product	co-products
co-production	co-productions
co-promoter	co-promoters
co-religionist	co-religionists
co-requisite	co-requisites
co-signatory	co-signatories
co-sponsor	co-sponsors,co-sponsoring,co-sponsored
co-star	co-starred,co-stars,co-starring
co-worker	co-workers
coach	coached,coaches,coaching
coach-and-four	coach-and-fours
coachee	coachees
coachload	coachloads
coachman	coachmen,coachmen.
coagulant	coagulants
coagulate	coagulating,coagulated,coagulates
coagulation	coagulations
coagulopathy	coagulopathies
coal	coals
coalesce	coalesced,coalesces,coalescing
coalface	coalfaces
coalfield	coalfields
coalfish	coalfishes
coalition	coalitions
coalman	coalmen
coalmine	coalmines
coalminer	coalminers
coarse	coarsely,coarsest,coarser
coarsen	coarsened,coarsens,coarsening
coast	coasts,coasting,coasted
coaster	coasters
coastguard	coastguards
coastline	coastlines
coat	coating,coated,coats
coating	coatings
coauthor	coauthored,coauthors,coauthoring
coax	coaxes,coaxed,coaxing
cob	cobs
cob-nut	cob-nuts
cobalamin	cobalamins
cobble	cobbles,cobbling,cobbled
cobbler	cobblers
cobblestone	cobblestones
cobra	cobras
cobweb	cobwebs
coca	cocas
coccidiosis	coccidioses
coccolith	coccoliths
coccolithophore	coccolithophores
coccus	cocci
coccyx	coccyges,coccyxes
cochlea	cochleae,cochleas
cock	cocked,cocks,cocking
cock-crow	cock-crows
cock-up	cock-ups
cockatiel	cockatiels
cockatoo	cockatoos,cockatoos.
cocker	cockers
cockerel	cockerels
cockfight	cockfights
cockle	cockles
cockleshell	cockleshells
cockney	cockneys
cockpit	cockpits
cockroach	cockroaches
cockscomb	cockscombs
cocktail	cocktails
cocky	cockiest,cockier
coco	cocos
cocoa	cocoas
coconut	coconuts
cocoon	cocooned,cocoons,cocooning
cod	cods
coda	codas
coddle	coddled,coddles,coddling
code	codes,coding,coded
codebook	codebooks
coder	coders
codeword	codewords
codex	codices
codger	codgers
codicil	codicils
codification	codifications
codify	codifying,codified,codifies
coding	codings
codling	codlings
codon	codons
codpiece	codpieces
coefficient	coefficients
coelacanth	coelacanths
coenzyme	coenzymes
coerce	coerces,coercing,coerced
coercion	coercions
coeur	coeurs
coexist	coexisting,coexisted,coexists
coexistence	coexistences
cofactor	cofactors
coffee	coffees
coffeepot	coffeepots
coffer	coffers
coffin	coffins
cofounder	cofounders
cog	cogs
cogitate	cogitating,cogitated,cogitates
cogitation	cogitations
cognac	cognacs
cognate	cognates
cognition	cognitions
cognize	cognized,cognizes,cognizing
cognoscente	cognoscenti
cogwheel	cogwheels
cohabit	cohabiting,cohabited,cohabits,cohabitted,cohabitting
cohabitant	cohabitants
cohabitation	cohabitations
cohabitee	cohabitees
cohere	cohering,coheres,cohered
coherence	coherences
coherency	coherencies
coherent	coherentest,coherenter
cohesion	cohesions
cohomology	cohomologies
cohort	cohorts
coiffure	coiffures
coil	coils,coiled,coiling
coin	coining,coined,coins
coin-box	coin-boxes
coinage	coinages
coincide	coincides,coincided,coinciding
coincidence	coincidences
cointegration	cointegrations
coitus	coituses
coke	coked,coking,cokes
col	cols
col.	cols.
cola	colas
colander	colanders
colchicine	colchicines
cold	coldest,colder,colds
cold-shoulder	cold-shoulders,cold-shouldered,cold-shouldering
colectomy	colectomies
colic	colics
coliform	coliforms
colin	colins
colitis	colitides
coll	colls
collaborate	collaborated,collaborating,collaborates
collaboration	collaborations
collaborator	collaborators
collage	collages
collagen	collagens
collapse	collapsed,collapses,collapsing
collar	collaring,collars,collared
collarbone	collarbones
collate	collated,collates,collating
collateral	collaterals
collation	collations
collator	collators
colleague	colleagues
collect	collected,collecting,collects
collectable	collectables
collectible	collectibles
collection	collections
collective	collectives
collectivise	collectivised,collectivises,collectivising
collectivist	collectivists
collectivity	collectivities
collectivization	collectivizations
collectivize	collectivizing,collectivizes,collectivized
collector	collectors
colleen	colleens
college	colleges
collide	collides,colliding,collided
collider	colliders
collie	collies
collier	colliers
colliery	collieries
collimate	collimating,collimates,collimated
collimation	collimations
collimator	collimators
collision	collisions
collocate	collocated,collocating,collocates
collocation	collocations
colloid	colloids
colloquialism	colloquialisms
colloquium	colloquiums,colloquia
colloquy	colloquies
collude	colluding,colludes,colluded
collusion	collusions
coloboma	colobomata,colobomas
colobus	colobuses
cologne	colognes
colon	cola,colons
colonel	colonels
colonial	colonials
colonialist	colonialists
colonisation	colonisations
colonise	colonising,colonised,colonises
coloniser	colonisers
colonist	colonists
colonization	colonizations
colonize	colonizes,colonized,colonizing
colonizer	colonizers
colonnade	colonnades
colonoscopy	colonoscopies
colony	colonies
colophony	colophonies
color	coloring,colors,colored
colorant	colorants
coloration	colorations
colorcast	colorcasted,colorcasts,colorcasting
colorimeter	colorimeters
colorize	colorized,colorizes,colorizing
colossus	colossuses,colossi
colostomy	colostomies
colostrum	colostrums,colostra
colour	colours,coloured,colouring
colourant	colourants
colouration	colourations
coloured	coloureds
colposcopy	colposcopies
colt	colts
columbine	columbines
column	columns
columnist	columnists
coma	comas,comae
comb	combing,combs,combed
combat	combated,combating,combatted,combatting,combats
combatant	combatants
combe	combes
combination	combinations
combine	combining,combined,combines
combiner	combiners
combo	combos
combust	combusted,combusting,combusts
combustible	combustibles
combustion	combustions
combustor	combustors
come	comes,coming,came
come-back	come-backs
come-on	come-ons
comeback	comebacks
comedian	comedians
comedienne	comediennes
comedown	comedowns
comedy	comedies
comely	comeliest,comelier
comer	comers
comet	comets
comfort	comforted,comforts,comforting
comforter	comforters
comfy	comfier,comfiest
comic	comics
coming	comings
coming-of-age	comings-of-age
comity	comities
comma	commas
command	commands,commanded,commanding
commandant	commandants
commandeer	commandeering,commandeers,commandeered
commander	commanders
commander-in-chief	commanders-in-chief
commandment	commandments
commando	commandoes,commandos
commemorate	commemorated,commemorates,commemorating
commemoration	commemorations
commence	commenced,commencing,commences
commencement	commencements
commend	commending,commends,commended
commendation	commendations
comment	comments,commented,commenting
commentary	commentaries
commentate	commentated,commentates,commentating
commentator	commentators
commerce	commerces
commercial	commercials
commercialise	commercialising,commercialised,commercialises
commercialize	commercialized,commercializes,commercializing
commie	commies
commingle	commingled,commingling,commingles
commiserate	commiserates,commiserating,commiserated
commiseration	commiserations
commissar	commissars
commissariat	commissariats
commissary	commissaries
commission	commissions,commissioning,commissioned
commissionaire	commissionaires
commissioner	commissioners
commit	commits,committed,committing
commitment	commitments
committal	committals
committee	committees
committeeman	committeemen
committeewoman	committeewomen
commode	commodes
commodify	commodifying,commodifies,commodified
commoditisation	commoditisations
commodity	commodities
commodore	commodores
common	commons,commonest,commonner,commonnest,commoner
commonality	commonalities
commonalty	commonalties
commoner	commoners
commonplace	commonplaces
commonroom	commonrooms
commonwealth	commonwealths
commotion	commotions
commune	communing,communes,communed
communicant	communicants
communicate	communicates,communicating,communicated
communication	communications
communicator	communicators
communion	communions
communique	communiques
communiqué	communiqués
communist	communists
communitarian	communitarians
community	communities
commutation	commutations
commutator	commutators
commute	commutes,commuted,commuting
commuter	commuters
comorbidity	comorbidities
compact	compacter,compactest,compacted,compacting,compacts
compactor	compactors
companion	companions
companionway	companionways
company	companies
comparative	comparatives
comparator	comparators
compare	compared,compares,comparing
comparison	comparisons
compartment	compartments
compartmentalisation	compartmentalisations
compartmentalise	compartmentalising,compartmentalised,compartmentalises
compartmentalize	compartmentalizing,compartmentalized,compartmentalizes
compass	compasses,compassing,compassed
compatibility	compatibilities
compatible	compatibles
compatriot	compatriots
compel	compelling,compels,compelled
compendium	compendiums,compendia
compensate	compensated,compensates,compensating
compensation	compensations
compensator	compensators
compere	compering,comperes,compered
compete	competes,competed,competing
competence	competences
competency	competencies
competition	competitions
competitive	competitives
competitor	competitors
compilation	compilations
compile	compiling,compiled,compiles
compiler	compilers
complain	complained,complaining,complains
complainant	complainants
complainer	complainers
complaint	complaints
complement	complements,complementing,complemented
complementarity	complementarities
complementation	complementations
complete	completer,completes,completing,completed,completest
completer	completers
completion	completions
complex	complexed,complexes,complexing
complexion	complexions
complexity	complexities
compliance	compliances
complicate	complicates,complicating,complicated
complication	complications
compliment	complimented,compliments,complimenting
comply	complying,complied,complies
compo	compos
component	components
comport	comporting,comports,comported
compose	composing,composes,composed
composer	composers
composite	composited,composites,compositing
composition	compositions
compositor	compositors
compost	composted,composting,composts
composure	composures
compote	compotes
compound	compounded,compounds,compounding
compounder	compounders
comprehend	comprehending,comprehends,comprehended
comprehension	comprehensions
comprehensive	comprehensives
compress	compresses,compressed,compressing
compressibility	compressibilities
compression	compressions
compressor	compressors
comprise	comprising,comprises,comprised
compromise	compromising,compromises,compromised
comptroller	comptrollers
compulsion	compulsions
computation	computations
compute	computes,computed,computing
computer	computers
computerise	computerised,computerises,computerising
computerize	computerized,computerizing,computerizes
compère	compères
comrade	comrades
con	conned,cons,conning
conc	concs
concatenate	concatenating,concatenates,concatenated
concatenation	concatenations
concavity	concavities
conceal	concealing,concealed,conceals
concede	conceding,concedes,conceded
conceit	conceits
conceive	conceives,conceived,conceiving
concentrate	concentrating,concentrates,concentrated
concentration	concentrations
concentrator	concentrators
concept	concepts
conception	conceptions
conceptualisation	conceptualisations
conceptualise	conceptualises,conceptualised,conceptualising
conceptualization	conceptualizations
conceptualize	conceptualizes,conceptualized,conceptualizing
concern	concerns,concerning,concerned
concert	concerts
concert-goer	concert-goers
concertina	concertinaing,concertinas,concertinaed
concertmaster	concertmasters
concerto	concerti,concertos
concession	concessions
concessionaire	concessionaires
conch	conches,conchs
concierge	concierges
conciliate	conciliates,conciliating,conciliated
conciliator	conciliators
conclave	conclaves
conclude	concluding,concludes,concluded
conclusion	conclusions
concoct	concocts,concocted,concocting
concoction	concoctions
concomitant	concomitants
concord	concords
concordance	concordances
concordat	concordats
concourse	concourses
concrete	concreted,concretes,concreting
concretion	concretions
concubine	concubines
concur	concurring,concurred,concurs
concurrence	concurrences
concurrency	concurrencies
concuss	concussing,concusses,concussed
concussion	concussions
condemn	condemned,condemning,condemns
condemnation	condemnations
condensate	condensates
condensation	condensations
condense	condensing,condenses,condensed
condenser	condensers
condescend	condescends,condescended,condescending
condescension	condescensions
condiment	condiments
condition	conditioning,conditions,conditioned
conditional	conditionals
conditionality	conditionalities
conditioner	conditioners
conditioning	conditionings
condole	condoling,condoles,condoled
condolence	condolences
condom	condoms
condominium	condominiums
condone	condones,condoning,condoned
condor	condors
conduce	conducing,conduced,conduces
conduct	conducted,conducts,conducting
conductance	conductances
conduction	conductions
conductivity	conductivities
conductor	conductors
conductress	conductresses
conduit	conduits
condyle	condyles
cone	coned,cones,coning
confection	confections
confectionary	confectionaries
confectioner	confectioners
confectionery	confectioneries
confederacy	confederacies
confederate	confederates
confederation	confederations
confer	conferring,conferred,confers
conference	conferences
conferment	conferments
confess	confesses,confessing,confessed
confession	confessions
confessional	confessionals
confessor	confessors
confidant	confidants
confidante	confidantes
confide	confiding,confides,confided
confidence	confidences
confidentiality	confidentialities
configuration	configurations
configure	configuring,configured,configures
confine	confining,confines,confined
confinement	confinements
confirm	confirmed,confirms,confirming
confirmation	confirmations
confiscate	confiscated,confiscating,confiscates
confiscation	confiscations
conflagration	conflagrations
conflate	conflating,conflates,conflated
conflict	conflicts,conflicting,conflicted
confluence	confluences
conform	conforms,conforming,conformed
conformation	conformations
conformer	conformers
conformist	conformists
conformity	conformities
confound	confounding,confounds,confounded
confounder	confounders
confraternity	confraternities
confront	confronted,confronting,confronts
confrontation	confrontations
confuse	confusing,confuses,confused
confusion	confusions
confute	confutes,confuting,confuted
congeal	congeals,congealing,congealed
congener	congeners
conger	congers
congest	congests,congested,congesting
congestion	congestions
conglomerate	conglomerates
conglomeration	conglomerations
congratulate	congratulates,congratulated,congratulating
congratulation	congratulations
congregant	congregants
congregate	congregated,congregates,congregating
congregation	congregations
congress	congresses
congressman	congressmen
congresswoman	congresswomen
congruence	congruences
congruity	congruities
conidium	conidia
conifer	conifers
conjecture	conjecturing,conjectures,conjectured
conjoin	conjoins,conjoined,conjoining
conjugate	conjugates,conjugated,conjugating
conjugation	conjugations
conjunct	conjuncts
conjunction	conjunctions
conjunctiva	conjunctivas,conjunctivae
conjunctivitis	conjunctivitides
conjure	conjures,conjured,conjuring
conjurer	conjurers,spelled,also
conjuror	conjurors
conk	conks,conked,conking
conker	conkers
conman	conmen
conn	conns
connect	connected,connects,connecting
connection	connections
connectionist	connectionists
connective	connectives
connectivity	connectivities
connector	connectors
connexion	connexions
connive	connived,conniving,connives
connoisseur	connoisseurs
connotation	connotations
connote	connoting,connoted,connotes
conquer	conquers,conquered,conquering
conqueror	conquerors
conquest	conquests
conquistador	conquistadores,conquistadors
consanguinity	consanguinities
conscience	consciences
consciousness	consciousnesses
conscript	conscripted,conscripting,conscripts
consecrate	consecrates,consecrating,consecrated
consensus	consensuses
consent	consenting,consented,consents
consequence	consequences
consequentialist	consequentialists
conservancy	conservancies
conservation	conservations
conservationist	conservationists
conservative	conservatives
conservator	conservators
conservatory	conservatories
conserve	conserving,conserved,conserves
conserver	conservers
consider	considering,considered,considers
consideration	considerations
consign	consigned,consigning,consigns
consignee	consignees
consignment	consignments
consist	consists,consisted,consisting
consisted	consisteded,consisteding,consisteds
consistency	consistencies
consolation	consolations
console	consoling,consoles,consoled
consolidate	consolidated,consolidating,consolidates
consolidation	consolidations
consolidator	consolidators
consomme	consommes
consonance	consonances
consonant	consonants
consort	consorts,consorted,consorting
consortium	consortiums,consortia
conspecific	conspecifics
conspiracy	conspiracies
conspirator	conspirators
conspire	conspires,conspiring,conspired
const	consts
constable	constables
constabulary	constabularies
constancy	constancies
constant	constants
constellation	constellations
constipate	constipating,constipated,constipates
constituency	constituencies
constituent	constituents
constitute	constituted,constitutes,constituting
constitution	constitutions
constitutional	constitutionals
constrain	constraining,constrained,constrains
constraint	constraints
constrict	constricts,constricted,constricting
constriction	constrictions
constrictor	constrictors
construal	construals
construct	constructs,constructing,constructed
construction	constructions
constructionist	constructionists
constructivist	constructivists
constructor	constructors
construe	construed,construing,construes
consul	consuls
consulate	consulates
consulship	consulships
consult	consults,consulting,consulted
consultancy	consultancies
consultant	consultants
consultation	consultations
consultee	consultees
consumable	consumables
consume	consuming,consumed,consumes
consumer	consumers
consumerism	consumerisms
consumerist	consumerists
consummate	consummates,consummated,consummating
consummation	consummations
consumption	consumptions
consumptive	consumptives
cont	conts
contact	contacting,contacted,contacts
contactee	contactees
contactor	contactors
contagion	contagions
contain	contained,containing,contains
container	containers
containerise	containerised,containerising,containerises
containment	containments
contaminant	contaminants
contaminate	contaminated,contaminating,contaminates
contamination	contaminations
contemn	contemned,contemns,contemning
contemplate	contemplates,contemplating,contemplated
contemplation	contemplations
contemporary	contemporaries
contempt	contempts
contend	contends,contending,contended
contender	contenders
content	contents,contenting,contented
contention	contentions
contest	contesting,contests,contested
contestant	contestants
context	contexts
contextualise	contextualised,contextualising,contextualises
contextualize	contextualized,contextualizing,contextualizes
contig	contigs
contiguity	contiguities
continent	continents
continental	continentals
contingency	contingencies
contingent	contingents
continuance	continuances
continuation	continuations
continue	continuing,continued,continues
continuity	continuities
continuum	continuums,continua
contort	contorted,contorting,contorts
contortion	contortions
contortionist	contortionists
contour	contouring,contours,contoured
contra	contras
contra-indicate	contra-indicating,contra-indicates,contra-indicated
contra-indication	contra-indications
contraception	contraceptions
contraceptive	contraceptives
contract	contracts,contracted,contracting
contractility	contractilities
contraction	contractions
contractor	contractors
contracture	contractures
contradict	contradicted,contradicts,contradicting
contradiction	contradictions
contradictory	contradictories
contraindicate	contraindicated,contraindicating,contraindicates
contraindication	contraindications
contralto	contraltos,contralti
contraption	contraptions
contrarian	contrarians
contrary	contraries
contrast	contrasts,contrasted,contrasting
contravene	contravenes,contravening,contravened
contravention	contraventions
contribute	contributes,contributed,contributing
contribution	contributions
contributor	contributors
contrivance	contrivances
contrive	contriving,contrives,contrived
control	controlled,controlling,controling,controled,controls
controllability	controllabilities
controller	controllers
controversialist	controversialists
controversy	controversies
controvert	controverting,controverted,controverts
contusion	contusions
conundrum	conundrums
conurbation	conurbations
conure	conures
convalesce	convalescing,convalesces,convalesced
convalescence	convalescences
convalescent	convalescents
convector	convectors
convene	convenes,convening,convened
convener	conveners
convenience	conveniencing,convenienced,conveniences
convenor	convenors
convent	convents
convention	conventions
conventionality	conventionalities
converge	converged,converging,converges
convergence	convergences
conversation	conversations
conversationalist	conversationalists
converse	conversing,conversed,converses
conversion	conversions
convert	converting,converts,converted
converter	converters
convertible	convertibles
convertor	convertors
convexity	convexities
convey	conveys,conveyed,conveying
conveyance	conveyances
conveyer	conveyers
conveyor	conveyors
convict	convicted,convicts,convicting
conviction	convictions
convince	convinces,convincing,convinced
conviviality	convivialities
convocation	convocations
convoke	convoking,convokes,convoked
convolute	convoluting,convolutes,convoluted
